CD_PROV_REFNIS,CD_AGE,MS_POPULATION
20001,44,32163
20001,45,32429
20001,46,32203
20001,47,32702
20001,48,32144
20001,49,31986
20001,50,31123
20001,51,31543
20001,52,31686
20001,53,32028
20001,54,30972
20001,55,30063
20001,56,29580
20001,57,29490
20001,58,28570
20001,59,27373
20001,60,26519
20001,61,25954
20001,62,24974
20001,63,23798
20001,64,23092
20001,65,22460
20001,66,20970
20001,67,20945
20001,68,20074
20001,69,20060
20001,70,19450
20001,71,19220
20001,72,16888
20001,73,16771
20001,74,15803
20001,75,13765
20001,76,11902
20001,77,13201
20001,78,13364
20001,79,13108
20001,80,12509
20001,81,11765
20001,82,11192
20001,83,10833
20001,84,10078
20001,85,9543
20001,86,8725
20001,87,8237
20001,88,6720
20001,89,5771
20001,90,4878
20001,91,4105
20001,92,3398
20001,93,2719
20001,94,2156
20001,95,1560
20001,96,1126
20001,97,779
20001,98,423
20001,99,202
20001,100,352
20002,0,3840
20002,1,3946
20002,2,4155
20002,3,4247
20002,4,4419
20002,5,4443
20002,6,4466
20002,7,4833
20002,8,4851
20002,9,4845
20002,10,4890
20002,11,5004
20002,12,4965
20002,13,4887
20002,14,4851
20002,15,4856
20002,16,5091
20002,17,5056
20002,18,5049
20002,19,5004
20002,20,5127
20002,21,5244
20002,22,5046
20002,23,5000
20002,24,5000
20002,25,5068
20002,26,5000
20002,27,4711
20002,28,4728
20002,29,4611
20002,30,4514
20002,31,4623
20002,32,4555
20002,33,4535
20002,34,4605
20002,35,4672
20002,36,4802
20002,37,4923
20002,38,4914
20002,39,4865
20002,40,5022
20002,41,5203
20002,42,5193
20002,43,5288
20002,44,5519
20002,45,5732
20002,46,5920
20002,47,5569
20002,48,5614
20002,49,5492
20002,50,5660
20002,51,5781
20002,52,5861
20002,53,5823
20002,54,5750
20002,55,5705
20002,56,5642
20002,57,5730
20002,58,5479
20002,59,5319
20002,60,5166
20002,61,5050
20002,62,5042
20002,63,4767
20002,64,4729
20002,65,4629
20002,66,4407
20002,67,4459
20002,68,4371
20002,69,4458
20002,70,4520
20002,71,4401
20002,72,3487
20002,73,3420
20002,74,3111
20002,75,2610
20002,76,2327
20002,77,2465
20002,78,2657
20002,79,2512
20002,80,2338
20002,81,2204
20002,82,1975
20002,83,1871
20002,84,1820
20002,85,1758
20002,86,1583
20002,87,1432
20002,88,1251
20002,89,982
20002,90,837
20002,91,670
20002,92,597
20002,93,507
20002,94,387
20002,95,235
20002,96,218
20002,97,142
20002,98,76
20002,99,36
20002,100,56
30000,0,10666
30000,1,11299
30000,2,11215
30000,3,11454
30000,4,11681
30000,5,11887
30000,6,12202
30000,7,12469
30000,8,12334
30000,9,12810
30000,10,12337
30000,11,12195
30000,12,12040
30000,13,11711
30000,14,11407
30000,15,11576
30000,16,11790
30000,17,12225
30000,18,12124
30000,19,12773
30000,20,13066
30000,21,13406
30000,22,13529
30000,23,13723
30000,24,14167
30000,25,14318
30000,26,14384
30000,27,13885
30000,28,13694
30000,29,13619
30000,30,13285
30000,31,13547
30000,32,13180
30000,33,13487
30000,34,13849
30000,35,13999
30000,36,14274
30000,37,14324
30000,38,14090
30000,39,14042
30000,40,13884
30000,41,13639
30000,42,13427
30000,43,14119
30000,44,14468
30000,45,15181
30000,46,15863
30000,47,16221
30000,48,16204
30000,49,16144
30000,50,16647
30000,51,17221
30000,52,17874
30000,53,18514
30000,54,18000
30000,55,17790
30000,56,17613
30000,57,17027
30000,58,16910
30000,59,16839
30000,60,16509
30000,61,16437
30000,62,16128
30000,63,15686
