CD_PROV_REFNIS,CD_AGE,MS_POPULATION
60000,37,3437
60000,38,3331
60000,39,3264
60000,40,3168
60000,41,3194
60000,42,3076
60000,43,3138
60000,44,3262
60000,45,3183
60000,46,3195
60000,47,3206
60000,48,3057
60000,49,3099
60000,50,2997
60000,51,3116
60000,52,3245
60000,53,3302
60000,54,3158
60000,55,3093
60000,56,3075
60000,57,3214
60000,58,3066
60000,59,3107
60000,60,2935
60000,61,2909
60000,62,2808
60000,63,2822
60000,64,2725
60000,65,2660
60000,66,2562
60000,67,2623
60000,68,2500
60000,69,2512
60000,70,2419
60000,71,2402
60000,72,1874
60000,73,1867
60000,74,1655
60000,75,1561
60000,76,1344
60000,77,1618
60000,78,1586
60000,79,1465
60000,80,1371
60000,81,1352
60000,82,1261
60000,83,1216
60000,84,1215
60000,85,1140
60000,86,1088
60000,87,910
60000,88,824
60000,89,647
60000,90,582
60000,91,468
60000,92,410
60000,93,326
60000,94,229
60000,95,163
60000,96,115
60000,97,99
60000,98,63
60000,99,17
60000,100,38
70000,0,1296
70000,1,1316
70000,2,1399
70000,3,1459
70000,4,1395
70000,5,1542
70000,6,1488
70000,7,1482
70000,8,1563
70000,9,1530
70000,10,1554
70000,11,1422
70000,12,1473
70000,13,1415
70000,14,1421
70000,15,1439
70000,16,1420
70000,17,1433
70000,18,1547
70000,19,1530
70000,20,1616
70000,21,1604
70000,22,1632
70000,23,1635
70000,24,1766
70000,25,1864
70000,26,1921
70000,27,1863
70000,28,1835
70000,29,1752
70000,30,1732
70000,31,1791
70000,32,1703
70000,33,1740
70000,34,1834
70000,35,1854
70000,36,1995
70000,37,1967
70000,38,1988
70000,39,1970
70000,40,1955
70000,41,1838
70000,42,1723
70000,43,1741
70000,44,1737
70000,45,1849
70000,46,1890
70000,47,1912
70000,48,2002
70000,49,1916
70000,50,1940
70000,51,1932
70000,52,1997
70000,53,2119
70000,54,2096
70000,55,2140
70000,56,2104
70000,57,2175
70000,58,2232
70000,59,2157
70000,60,2028
70000,61,1991
70000,62,2012
70000,63,1939
70000,64,1790
70000,65,1818
70000,66,1785
70000,67,1684
70000,68,1643
70000,69,1595
70000,70,1508
70000,71,1459
70000,72,1261
70000,73,1214
70000,74,1158
70000,75,1068
70000,76,976
70000,77,1077
70000,78,1123
70000,79,1086
70000,80,1083
70000,81,969
70000,82,938
70000,83,838
70000,84,771
70000,85,738
70000,86,643
70000,87,573
70000,88,521
70000,89,436
70000,90,345
70000,91,274
70000,92,230
70000,93,177
70000,94,134
70000,95,89
70000,96,54
70000,97,43
70000,98,14
70000,99,14
70000,100,21
80000,0,312
80000,1,323
80000,2,313
80000,3,349
80000,4,370
80000,5,330
80000,6,330
80000,7,355
80000,8,345
80000,9,345
80000,10,364
80000,11,367
80000,12,341
80000,13,365
80000,14,352
80000,15,353
80000,16,341
80000,17,372
80000,18,316
80000,19,373
80000,20,352
80000,21,362
80000,22,371
80000,23,366
80000,24,407
80000,25,455
80000,26,481
80000,27,469
80000,28,456
80000,29,458
80000,30,475
80000,31,458
80000,32,428
80000,33,404
80000,34,431
80000,35,415
80000,36,412
80000,37,401
80000,38,416
80000,39,394
80000,40,391
80000,41,412
80000,42,432
80000,43,415
80000,44,480
80000,45,484
80000,46,426
80000,47,414
80000,48,433
80000,49,404
80000,50,430
80000,51,395
80000,52,407
80000,53,439
80000,54,398
80000,55,390
80000,56,379
80000,57,331
80000,58,386
80000,59,327
80000,60,339
80000,61,318
80000,62,285
80000,63,295
80000,64,325
80000,65,293
80000,66,272
80000,67,244
80000,68,262
80000,69,263
80000,70,290
80000,71,260
80000,72,186
80000,73,178
80000,74,169
80000,75,181
80000,76,144
80000,77,159
80000,78,170
80000,79,179
80000,80,156
80000,81,134
80000,82,141
80000,83,151
80000,84,131
80000,85,110
80000,86,110
80000,87,100
80000,88,82
80000,89,80
80000,90,62
80000,91,43
80000,92,28
80000,93,31
80000,94,20
80000,95,13
80000,96,11
80000,97,7
80000,98,4
80000,99,5
80000,100,2
90000,0,1067
90000,1,1154
90000,2,1160
90000,3,1113
90000,4,1217
90000,5,1185
90000,6,1197
90000,7,1188
90000,8,1182
