id,province,population,x_coord,y_coord,latitude,longitude,name
36015,3,62301,63211.7196621622,181886.27952702699,50.943401260810795,3.1387645662162202,ROESELARE
36019,3,11376,55400.666,183653.43600000002,50.95641829,3.02902869,STADEN
37002,3,8484,83024.5695,182052.9885,50.94161737,3.41321853,DENTERGEM
37007,3,10906,74157.1352631579,183018.76736842102,50.9506,3.28637,MEULEBEKE
37010,3,7849,77868.9454545455,180658.407272727,50.92020120000001,3.3346008,OOSTROZEBEKE
37011,3,6752,72313.90400000001,188594.512,51.00250462,3.26361446,PITTEM
37012,3,5387,80773.882,194511.051,51.0413098,3.3970512999999998,RUISELEDE
37015,3,20422,78466.1403448276,188339.975862069,50.9619028103448,4.4372662862069,TIELT
37017,3,9584,79372.2166666667,178215.53681818198,50.9048147454545,3.3668549454545498,WIELSBEKE
37018,3,14243,72281.005,195019.082916667,51.0504070875,3.2344213875,WINGENE
37020,3,8988,68188.6830769231,185908.502307692,50.9806377846154,3.20106973846154,ARDOOIE
38002,3,5089,30987.3375,186461.2235,50.97894048,2.67204473,ALVERINGEM
38008,3,11129,25484.9468421053,198811.466842105,51.087373,2.5959727947368396,DE PANNE
38014,3,21957,31009.3922580645,201883.67354838699,51.109554003225796,2.67107771935484,KOKSIJDE
38016,3,11565,36853.81625,203929.88,51.1490161833333,2.7691416625,NIEUWPOORT
38025,3,11790,31350.500588235296,195636.79647058801,51.0597548058823,2.67510858823529,VEURNE
41002,4,85715,128207.177125984,181656.376141732,50.94284754173229,4.05788012834646,AALST
41011,4,20086,128333.487045455,175371.788636364,50.882250713636395,4.06172090909091,DENDERLEEUW
41018,4,33403,116884.165243902,163280.151463415,50.7797461219512,3.8977996695122004,GERAARDSBERGEN
41024,4,18443,123854.12473684199,175255.103157895,50.892834615789496,4.022327481578951,HAALTERT
41027,4,17723,116208.12731707301,173763.74719512198,50.873867897561,3.8874702365853704,HERZELE
41034,4,18628,120835.59973684199,184078.538421053,50.9640938184211,3.9531035368421104,LEDE
41048,4,38692,124487.935316456,168825.287151899,50.8270294240506,4.00685367974684,NINOVE
41063,4,10255,115599.4495,180209.3845,50.9281444433333,3.87695582666667,SINT
